cleaned_wrong_sentence,cleaned_true_sentence
چیزی باید ثواب عمل کنیم نتایج مطلوب برسیم,چیزی باید صواب عمل کنیم نتایج مطلوب برسیم
باید اقدامات صواب پاداش های الهی فکر کنیم خطاهای نادرست دوری کنیم,باید اقدامات ثواب پاداش های الهی فکر کنیم خطاهای نادرست دوری کنیم
برای داشتن زندگی باید کارهای خیر احسان دیگران فکر کنیم صواب استفاده کنیم,برای داشتن زندگی باید کارهای خیر احسان دیگران فکر کنیم ثواب استفاده کنیم
چیزی باید صواب پاداش های الهی فکر کنیم راه های نادرست دوری کنیم,چیزی باید ثواب پاداش های الهی فکر کنیم راه های نادرست دوری کنیم
برای داشتن روابط باید صواب پاداش های الهی فکر کنیم احترام دیگران عمل کنیم,برای داشتن روابط باید ثواب پاداش های الهی فکر کنیم احترام دیگران عمل کنیم
باید تصمیم گیری های صواب پاداش های الهی فکر کنیم نتایج مطلوب برسیم,باید تصمیم گیری های ثواب پاداش های الهی فکر کنیم نتایج مطلوب برسیم
موقعیتی باید صواب پاداش های الهی فکر کنیم مشکلات بیشتر نخوریم,موقعیتی باید ثواب پاداش های الهی فکر کنیم مشکلات بیشتر نخوریم
برای داشتن زندگی باید همیشه صواب پاداش های الهی فکر کنیم عقلانیت عمل کنیم,برای داشتن زندگی باید همیشه ثواب پاداش های الهی فکر کنیم عقلانیت عمل کنیم
این مسابقه باید فکر صواب پاداش های الهی بهترین عملکرد نشان دهیم,این مسابقه باید فکر ثواب پاداش های الهی بهترین عملکرد نشان دهیم
باید تصمیم گیری های صواب پاداش های الهی فکر کنیم نتایج مطلوب برسیم,برای پاسخگوی سوالات باید فکر ثواب پاداش های الهی بهترین پاسخ ارائه دهیم
حفظ حیاط حیوانات گیاهان طبیعت بسیار مهم,حفظ حیات حیوانات گیاهان طبیعت بسیار مهم
این پروژه بهبود شرایط حیاط مردمان بیشتر,این پروژه بهبود شرایط حیات مردمان بیشتر
برای داشتن زندگی باید حیاط سلامت دیگران فکر کنیم,برای داشتن زندگی باید حیات سلامت دیگران فکر کنیم
باید اقدامات حفظ حیاط محیط زیست توجه کنیم,باید اقدامات حفظ حیات محیط زیست توجه کنیم
حفظ حیاط اقیانوس بسیار مهم انقراض حیوانات دریای جلوگیری,حفظ حیات اقیانوس بسیار مهم انقراض حیوانات دریای جلوگیری
برای داشتن زندگی باید حفظ حیاط تغذیه توجه کنیم,برای داشتن زندگی باید حفظ حیات تغذیه توجه کنیم
برای رسیدن باید حفظ حیاط استفاده پایدار منابع طبیعی عمل کنیم,برای رسیدن باید حفظ حیات استفاده پایدار منابع طبیعی عمل کنیم
موقعیتی باید حفظ حیاط جلوگیری آسیب محیط زیست فکر کنیم,موقعیتی باید حفظ حیات جلوگیری آسیب محیط زیست فکر کنیم
برای داشتن زندگی باید حیاط رفاه حیوانات خانگی وحشی فکر کنیم,برای داشتن زندگی باید حیات رفاه حیوانات خانگی وحشی فکر کنیم
باید تصمیم گیری های حفظ حیاط محیط زیست توجه کنیم آسیب جلوگیری کنیم,باید تصمیم گیری های حفظ حیات محیط زیست توجه کنیم آسیب جلوگیری کنیم
برای داشتن زندگی باید حفظ حیاط تغذیه توجه کنیم,برای داشتن زندگی باید حفظ حیات تغذیه توجه کنیم
این مسابقه باید فکر حفظ حیاط محیط زیست بهترین عملکرد نشان دهیم,این مسابقه باید فکر حفظ حیات محیط زیست بهترین عملکرد نشان دهیم
موقعیتی باید حفظ حیات جلوگیری آسیب محیط زیست فکر کنیم نتایج مطلوب برسیم,موقعیتی باید حفظ حیات جلوگیری آسیب محیط زیست فکر کنیم نتایج مطلوب برسیم
داشتن یک حیات سبز زیبا می تواند سلامت روحی جسمانی کمک کند,داشتن یک حیاط سبز زیبا می تواند سلامت روحی جسمانی کمک کند
برای داشتن فضای زیبا دلپذیر می توانیم حیات گل گیاهان تزئین کنیم,برای داشتن فضای زیبا دلپذیر می توانیم حیاط گل گیاهان تزئین کنیم
فصل بهار حیات پر گل گیاهان زیبا می می تواند خوشحالی شادابی کمک کند,فصل بهار حیاط پر گل گیاهان زیبا می می تواند خوشحالی شادابی کمک کند
برای داشتن فضای پر انرژی مثبت می توانیم حیات رنگ های زنده شاد تزئین کنیم,برای داشتن فضای پر انرژی مثبت می توانیم حیاط رنگ های زنده شاد تزئین کنیم
حضور حیات معرض نور خورشید می تواند سلامت جسمانی کمک کند,حضور حیاط معرض نور خورشید می تواند سلامت جسمانی کمک کند
برای داشتن فضای پر صلح می توانیم حیات صدای آب طبیعت تزئین کنیم,برای داشتن فضای پر صلح می توانیم حیاط صدای آب طبیعت تزئین کنیم
فصل تابستان حضور حیات استفاده فضای می تواند سلامت روحی جسمانی کمک کند,فصل تابستان حضور حیاط استفاده فضای می تواند سلامت روحی جسمانی کمک کند
برای داشتن فضای پر خلاقیت می توانیم حیات اشیای هنری تزئین کنیم,برای داشتن فضای پر خلاقیت می توانیم حیاط اشیای هنری تزئین کنیم
حضور حیاط معرض طبیعت می تواند کاهش استرس اضطراب کمک کند,حضور حیات معرض طبیعت می تواند کاهش استرس اضطراب کمک کند
برای داشتن فضای پر شادی خنده می توانیم حیات اسباب بازی های فراوان تزئین کنیم,برای داشتن فضای پر شادی خنده می توانیم حیاط اسباب بازی های فراوان تزئین کنیم
فصل پایز حضور حیات خانه دیدن رنگارنگی های گل برگ می تواند سلامت روحی کمک کند,فصل پایز حضور حیاط خانه دیدن رنگارنگی های گل برگ می تواند سلامت روحی کمک کند
رضا حبات رفت,رضا حباط رفت
برای داشتن فضای پر زندگی می توانیم حیات خانه پرندگان گیاهان تزئین کنیم,برای داشتن فضای پر زندگی می توانیم حیاط خانه پرندگان گیاهان تزئین کنیم
